,Beijing,Haerbin,Jinan,Rongcheng,Taiyuan,XiAn,Chengdu,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Loudi,Nanchang,Meixian,Guilin,Guangzhou,Fuzhou,Xiamen
Fuzhou_驚,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.484,0.304,0.304,0.304,0.304,0.304,0.304,1.000,1.000
Xiamen_驚,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.484,0.304,0.304,0.304,0.304,0.304,0.304,1.000,1.000
Beijing_皮 膚,1.000,0.436,1.000,1.000,1.000,0.533,0.314,1.000,0.533,1.000,1.000,1.000,0.533,1.000,0.533,1.000,1.000,1.000,0.533
Haerbin_肉 皮,0.436,1.000,0.436,0.436,0.436,0.690,0.368,0.436,0.690,0.436,0.436,0.436,0.690,0.436,0.690,0.436,0.436,0.436,0.690
Jinan_皮 膚,1.000,0.436,1.000,1.000,1.000,0.533,0.314,1.000,0.533,1.000,1.000,1.000,0.533,1.000,0.533,1.000,1.000,1.000,0.533
Rongcheng_皮 膚,1.000,0.436,1.000,1.000,1.000,0.533,0.314,1.000,0.533,1.000,1.000,1.000,0.533,1.000,0.533,1.000,1.000,1.000,0.533
Taiyuan_皮 膚,1.000,0.436,1.000,1.000,1.000,0.533,0.314,1.000,0.533,1.000,1.000,1.000,0.533,1.000,0.533,1.000,1.000,1.000,0.533
XiAn_皮,0.533,0.690,0.533,0.533,0.533,1.000,0.579,0.533,1.000,0.533,0.533,0.533,1.000,0.533,1.000,0.533,0.533,0.533,1.000
Chengdu_皮 皮,0.314,0.368,0.314,0.314,0.314,0.579,1.000,0.314,0.579,0.314,0.314,0.314,0.579,0.314,0.579,0.314,0.314,0.314,0.579
Nanjing_皮 膚,1.000,0.436,1.000,1.000,1.000,0.533,0.314,1.000,0.533,1.000,1.000,1.000,0.533,1.000,0.533,1.000,1.000,1.000,0.533
Jixi_皮,0.533,0.690,0.533,0.533,0.533,1.000,0.579,0.533,1.000,0.533,0.533,0.533,1.000,0.533,1.000,0.533,0.533,0.533,1.000
Suzhou_皮 膚,1.000,0.436,1.000,1.000,1.000,0.533,0.314,1.000,0.533,1.000,1.000,1.000,0.533,1.000,0.533,1.000,1.000,1.000,0.533
Wenzhou_皮 膚,1.000,0.436,1.000,1.000,1.000,0.533,0.314,1.000,0.533,1.000,1.000,1.000,0.533,1.000,0.533,1.000,1.000,1.000,0.533
Changsha_皮 膚,1.000,0.436,1.000,1.000,1.000,0.533,0.314,1.000,0.533,1.000,1.000,1.000,0.533,1.000,0.533,1.000,1.000,1.000,0.533
Loudi_皮,0.533,0.690,0.533,0.533,0.533,1.000,0.579,0.533,1.000,0.533,0.533,0.533,1.000,0.533,1.000,0.533,0.533,0.533,1.000
Nanchang_皮 膚,1.000,0.436,1.000,1.000,1.000,0.533,0.314,1.000,0.533,1.000,1.000,1.000,0.533,1.000,0.533,1.000,1.000,1.000,0.533
Meixian_皮,0.533,0.690,0.533,0.533,0.533,1.000,0.579,0.533,1.000,0.533,0.533,0.533,1.000,0.533,1.000,0.533,0.533,0.533,1.000
Guilin_皮 膚,1.000,0.436,1.000,1.000,1.000,0.533,0.314,1.000,0.533,1.000,1.000,1.000,0.533,1.000,0.533,1.000,1.000,1.000,0.533
Guangzhou_皮 膚,1.000,0.436,1.000,1.000,1.000,0.533,0.314,1.000,0.533,1.000,1.000,1.000,0.533,1.000,0.533,1.000,1.000,1.000,0.533
Fuzhou_皮 膚,1.000,0.436,1.000,1.000,1.000,0.533,0.314,1.000,0.533,1.000,1.000,1.000,0.533,1.000,0.533,1.000,1.000,1.000,0.533
Xiamen_皮,0.533,0.690,0.533,0.533,0.533,1.000,0.579,0.533,1.000,0.533,0.533,0.533,1.000,0.533,1.000,0.533,0.533,0.533,1.000
Beijing_漂 浮,1.000,1.000,1.000,1.000,0.444,0.444,0.444,1.000,0.780,0.381,0.780,1.000,0.444,0.444,0.780,NaN,1.000,NaN,0.780
