,Beijing,Haerbin,Jinan,Rongcheng,Taiyuan,XiAn,Chengdu,Nanjing,Jixi,Suzhou,Wenzhou,Changsha,Loudi,Nanchang,Meixian,Guilin,Guangzhou,Fuzhou,Xiamen
Fuzhou_水,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Xiamen_水,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Beijing_水 果,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.680,1.000,1.000,1.000,1.000,0.680,1.000
Haerbin_水 果,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.680,1.000,1.000,1.000,1.000,0.680,1.000
Jinan_水 果,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.680,1.000,1.000,1.000,1.000,0.680,1.000
Rongcheng_果 們,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Taiyuan_水 果,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.680,1.000,1.000,1.000,1.000,0.680,1.000
XiAn_水 果,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.680,1.000,1.000,1.000,1.000,0.680,1.000
Chengdu_水 果,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.680,1.000,1.000,1.000,1.000,0.680,1.000
Nanjing_水 果,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.680,1.000,1.000,1.000,1.000,0.680,1.000
Jixi_水 果,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.680,1.000,1.000,1.000,1.000,0.680,1.000
Suzhou_水 果,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.680,1.000,1.000,1.000,1.000,0.680,1.000
Wenzhou_水 果,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.680,1.000,1.000,1.000,1.000,0.680,1.000
Changsha_水 果,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.680,1.000,1.000,1.000,1.000,0.680,1.000
Loudi_果 子,0.680,0.680,0.680,NaN,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,1.000,0.680,0.680,0.680,0.680,1.000,0.680
Nanchang_水 果,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.680,1.000,1.000,1.000,1.000,0.680,1.000
Meixian_水 果,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.680,1.000,1.000,1.000,1.000,0.680,1.000
Guilin_水 果,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.680,1.000,1.000,1.000,1.000,0.680,1.000
Guangzhou_水 果,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.680,1.000,1.000,1.000,1.000,0.680,1.000
Fuzhou_果 子,0.680,0.680,0.680,NaN,0.680,0.680,0.680,0.680,0.680,0.680,0.680,0.680,1.000,0.680,0.680,0.680,0.680,1.000,0.680
Xiamen_水 果,1.000,1.000,1.000,NaN,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.680,1.000,1.000,1.000,1.000,0.680,1.000
Beijing_睡,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.653,0.653,0.653,1.000,0.653,0.653,1.000,1.000,1.000,0.653,0.653
Haerbin_睡,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.653,0.653,0.653,1.000,0.653,0.653,1.000,1.000,1.000,0.653,0.653
Jinan_睡,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.653,0.653,0.653,1.000,0.653,0.653,1.000,1.000,1.000,0.653,0.653
Rongcheng_睡,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.653,0.653,0.653,1.000,0.653,0.653,1.000,1.000,1.000,0.653,0.653
Taiyuan_睡,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.653,0.653,0.653,1.000,0.653,0.653,1.000,1.000,1.000,0.653,0.653
XiAn_睡,0.826,0.826,0.826,0.826,0.826,1.000,0.704,0.826,0.653,0.826,0.428,0.826,0.653,0.826,0.670,0.826,0.826,0.365,0.365
Chengdu_睡,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.653,0.653,0.653,1.000,0.653,0.653,1.000,1.000,1.000,0.653,0.653
Nanjing_睡,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.653,0.653,0.653,1.000,0.653,0.653,1.000,1.000,1.000,0.653,0.653
Jixi_睏,0.594,0.594,0.594,0.594,0.594,0.653,0.607,0.594,1.000,0.594,0.443,0.594,1.000,0.594,0.685,0.594,0.594,0.270,0.270
Suzhou_睏,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,1.000,1.000,1.000,0.653,1.000,1.000,0.653,0.653,0.653,1.000,1.000
Wenzhou_睏,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,1.000,1.000,1.000,0.653,1.000,1.000,0.653,0.653,0.653,1.000,1.000
Changsha_睡,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.653,0.653,0.653,1.000,0.653,0.653,1.000,1.000,1.000,0.653,0.653
Loudi_睏,0.594,0.594,0.594,0.594,0.594,0.653,0.607,0.594,1.000,0.594,0.443,0.594,1.000,0.594,0.685,0.594,0.594,0.270,0.270
Nanchang_睏,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,1.000,1.000,1.000,0.653,1.000,1.000,0.653,0.653,0.653,1.000,1.000
Meixian_睡,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.653,0.653,0.653,1.000,0.653,0.653,1.000,1.000,1.000,0.653,0.653
Guilin_睡,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.653,0.653,0.653,1.000,0.653,0.653,1.000,1.000,1.000,0.653,0.653
Guangzhou_睡,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.653,0.653,0.653,1.000,0.653,0.653,1.000,1.000,1.000,0.653,0.653
Fuzhou_睏,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,1.000,1.000,1.000,0.653,1.000,1.000,0.653,0.653,0.653,1.000,1.000
Xiamen_睏,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,1.000,1.000,1.000,0.653,1.000,1.000,0.653,0.653,0.653,1.000,1.000
Beijing_吸,1.000,0.511,0.589,0.589,1.000,1.000,NaN,0.481,0.481,0.565,NaN,0.425,0.425,0.197,1.000,0.481,0.589,0.481,0.481
Haerbin_裹,0.511,1.000,0.537,0.537,0.511,0.511,NaN,0.540,0.540,0.498,NaN,0.338,0.338,0.260,0.511,0.540,0.537,0.540,0.540
Jinan_吮,0.589,0.537,1.000,1.000,0.589,0.589,NaN,0.591,0.591,0.503,NaN,0.473,0.473,0.375,0.589,0.591,1.000,0.591,0.591
Rongcheng_吮,0.589,0.537,1.000,1.000,0.589,0.589,NaN,0.591,0.591,0.503,NaN,0.473,0.473,0.375,0.589,0.591,1.000,0.591,0.591
Taiyuan_吸,1.000,0.511,0.589,0.589,1.000,1.000,NaN,0.481,0.481,0.565,NaN,0.425,0.425,0.197,1.000,0.481,0.589,0.481,0.481
XiAn_吸,1.000,0.511,0.589,0.589,1.000,1.000,NaN,0.481,0.481,0.565,NaN,0.425,0.425,0.197,1.000,0.481,0.589,0.481,0.481
Chengdu_㰵,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nanjing_嗍,0.481,0.540,0.591,0.591,0.481,0.481,NaN,1.000,1.000,0.461,NaN,0.549,0.549,0.530,0.481,1.000,0.591,1.000,1.000
Jixi_嗍,0.481,0.540,0.591,0.591,0.481,0.481,NaN,1.000,1.000,0.461,NaN,0.549,0.549,0.530,0.481,1.000,0.591,1.000,1.000
Suzhou_呼,0.565,0.498,0.503,0.503,0.565,0.565,NaN,0.461,0.461,1.000,NaN,0.394,0.394,0.275,0.565,0.461,0.503,0.461,0.461
Wenzhou_㰵,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Changsha_唚,0.425,0.338,0.473,0.473,0.425,0.425,NaN,0.549,0.549,0.394,NaN,1.000,1.000,0.417,0.425,0.549,0.473,0.549,0.549
Loudi_唚,0.425,0.338,0.473,0.473,0.425,0.425,NaN,0.549,0.549,0.394,NaN,1.000,1.000,0.417,0.425,0.549,0.473,0.549,0.549
Nanchang_哜,0.197,0.260,0.375,0.375,0.197,0.197,NaN,0.530,0.530,0.275,NaN,0.417,0.417,1.000,0.197,0.530,0.375,0.530,0.530
Meixian_吸,1.000,0.511,0.589,0.589,1.000,1.000,NaN,0.481,0.481,0.565,NaN,0.425,0.425,0.197,1.000,0.481,0.589,0.481,0.481
Guilin_嗍,0.481,0.540,0.591,0.591,0.481,0.481,NaN,1.000,1.000,0.461,NaN,0.549,0.549,0.530,0.481,1.000,0.591,1.000,1.000
Guangzhou_吮,0.589,0.537,1.000,1.000,0.589,0.589,NaN,0.591,0.591,0.503,NaN,0.473,0.473,0.375,0.589,0.591,1.000,0.591,0.591
Fuzhou_嗍,0.481,0.540,0.591,0.591,0.481,0.481,NaN,1.000,1.000,0.461,NaN,0.549,0.549,0.530,0.481,1.000,0.591,1.000,1.000
Xiamen_嗍,0.481,0.540,0.591,0.591,0.481,0.481,NaN,1.000,1.000,0.461,NaN,0.549,0.549,0.530,0.481,1.000,0.591,1.000,1.000
Beijing_說,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.824,1.000,1.000,0.824,1.000,0.824,0.791,0.824,0.824,1.000,0.824,0.824
Haerbin_說,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.824,1.000,1.000,0.824,1.000,0.824,0.791,0.824,0.824,1.000,0.824,0.824
Jinan_說,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.824,1.000,1.000,0.824,1.000,0.824,0.791,0.824,0.824,1.000,0.824,0.824
Rongcheng_說,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.824,1.000,1.000,0.824,1.000,0.824,0.791,0.824,0.824,1.000,0.824,0.824
Taiyuan_說,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.824,1.000,1.000,0.824,1.000,0.824,0.791,0.824,0.824,1.000,0.824,0.824
XiAn_說,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.824,1.000,1.000,0.824,1.000,0.824,0.791,0.824,0.824,1.000,0.824,0.824
Chengdu_說,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.824,1.000,1.000,0.824,1.000,0.824,0.791,0.824,0.824,1.000,0.824,0.824
Nanjing_講,0.824,0.824,0.824,0.824,0.824,0.824,0.824,1.000,0.824,0.824,1.000,0.824,1.000,0.862,1.000,1.000,0.824,1.000,1.000
Jixi_說,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.824,1.000,1.000,0.824,1.000,0.824,0.791,0.824,0.824,1.000,0.824,0.824
Suzhou_說,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.824,1.000,1.000,0.824,1.000,0.824,0.791,0.824,0.824,1.000,0.824,0.824
Wenzhou_講,0.824,0.824,0.824,0.824,0.824,0.824,0.824,1.000,0.824,0.824,1.000,0.824,1.000,0.862,1.000,1.000,0.824,1.000,1.000
Changsha_說,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.824,1.000,1.000,0.824,1.000,0.824,0.791,0.824,0.824,1.000,0.824,0.824
Loudi_講,0.824,0.824,0.824,0.824,0.824,0.824,0.824,1.000,0.824,0.824,1.000,0.824,1.000,0.862,1.000,1.000,0.824,1.000,1.000
Nanchang_話,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.862,0.791,0.791,0.862,0.791,0.862,1.000,0.862,0.862,0.791,0.862,0.862
Meixian_講,0.824,0.824,0.824,0.824,0.824,0.824,0.824,1.000,0.824,0.824,1.000,0.824,1.000,0.862,1.000,1.000,0.824,1.000,1.000
Guilin_講,0.824,0.824,0.824,0.824,0.824,0.824,0.824,1.000,0.824,0.824,1.000,0.824,1.000,0.862,1.000,1.000,0.824,1.000,1.000
Guangzhou_說,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.824,1.000,1.000,0.824,1.000,0.824,0.791,0.824,0.824,1.000,0.824,0.824
Fuzhou_講,0.824,0.824,0.824,0.824,0.824,0.824,0.824,1.000,0.824,0.824,1.000,0.824,1.000,0.862,1.000,1.000,0.824,1.000,1.000
Xiamen_講,0.824,0.824,0.824,0.824,0.824,0.824,0.824,1.000,0.824,0.824,1.000,0.824,1.000,0.862,1.000,1.000,0.824,1.000,1.000
Beijing_撕 裂,1.000,1.000,1.000,1.000,0.596,0.617,NaN,0.596,0.591,NaN,NaN,0.596,0.665,1.000,NaN,0.665,1.000,0.818,NaN
Haerbin_撕 裂,1.000,1.000,1.000,1.000,0.596,0.617,NaN,0.596,0.591,NaN,NaN,0.596,0.665,1.000,NaN,0.665,1.000,0.818,NaN
Jinan_撕 裂,1.000,1.000,1.000,1.000,0.596,0.617,NaN,0.596,0.591,NaN,NaN,0.596,0.665,1.000,NaN,0.665,1.000,0.818,NaN
Rongcheng_撕 裂,1.000,1.000,1.000,1.000,0.596,0.617,NaN,0.596,0.591,NaN,NaN,0.596,0.665,1.000,NaN,0.665,1.000,0.818,NaN
Taiyuan_撕,0.596,0.596,0.596,0.596,1.000,0.755,NaN,1.000,0.693,NaN,NaN,1.000,0.706,0.596,NaN,0.706,0.596,0.657,NaN
XiAn_撕 烂,0.617,0.617,0.617,0.617,0.755,1.000,NaN,0.755,0.622,NaN,NaN,0.755,0.877,0.617,NaN,0.877,0.617,0.696,NaN
Chengdu_撕 開,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nanjing_撕,0.596,0.596,0.596,0.596,1.000,0.755,NaN,1.000,0.693,NaN,NaN,1.000,0.706,0.596,NaN,0.706,0.596,0.657,NaN
Jixi_扯,0.591,0.591,0.591,0.591,0.693,0.622,NaN,0.693,1.000,NaN,NaN,0.693,0.678,0.591,NaN,0.678,0.591,0.680,NaN
Suzhou_㧸,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Wenzhou_𢱋,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Changsha_撕,0.596,0.596,0.596,0.596,1.000,0.755,NaN,1.000,0.693,NaN,NaN,1.000,0.706,0.596,NaN,0.706,0.596,0.657,NaN
Loudi_扯 破,0.665,0.665,0.665,0.665,0.706,0.877,NaN,0.706,0.678,NaN,NaN,0.706,1.000,0.665,NaN,1.000,0.665,0.806,NaN
Nanchang_撕 裂,1.000,1.000,1.000,1.000,0.596,0.617,NaN,0.596,0.591,NaN,NaN,0.596,0.665,1.000,NaN,0.665,1.000,0.818,NaN
Meixian_扯 開,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,NaN,NaN,NaN,NaN
Guilin_扯 破,0.665,0.665,0.665,0.665,0.706,0.877,NaN,0.706,0.678,NaN,NaN,0.706,1.000,0.665,NaN,1.000,0.665,0.806,NaN
Guangzhou_撕 裂,1.000,1.000,1.000,1.000,0.596,0.617,NaN,0.596,0.591,NaN,NaN,0.596,0.665,1.000,NaN,0.665,1.000,0.818,NaN
Fuzhou_扯 裂,0.818,0.818,0.818,0.818,0.657,0.696,NaN,0.657,0.680,NaN,NaN,0.657,0.806,0.818,NaN,0.806,0.818,1.000,NaN
Xiamen_拆 扌丽,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000
Beijing_死,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Haerbin_死,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Jinan_死,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Rongcheng_死,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Taiyuan_死,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
XiAn_死,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Chengdu_死,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Nanjing_死,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Jixi_死,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Suzhou_死,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Wenzhou_死,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Changsha_死,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Loudi_死,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Nanchang_死,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Meixian_死,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Guilin_死,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Guangzhou_死,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Fuzhou_死,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Xiamen_死,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Beijing_四,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Haerbin_四,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Jinan_四,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Rongcheng_四,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Taiyuan_四,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
XiAn_四,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Chengdu_四,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Nanjing_四,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Jixi_四,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Suzhou_四,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Wenzhou_四,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Changsha_四,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Loudi_四,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Nanchang_四,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Meixian_四,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Guilin_四,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Guangzhou_四,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Fuzhou_四,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Xiamen_四,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Beijing_他,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.394,0.359,0.394,1.000,1.000,0.394,0.281,1.000,0.281,0.500,0.500
Haerbin_他,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.394,0.359,0.394,1.000,1.000,0.394,0.281,1.000,0.281,0.500,0.500
Jinan_他,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.394,0.359,0.394,1.000,1.000,0.394,0.281,1.000,0.281,0.500,0.500
Rongcheng_他,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.394,0.359,0.394,1.000,1.000,0.394,0.281,1.000,0.281,0.500,0.500
Taiyuan_他,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.394,0.359,0.394,1.000,1.000,0.394,0.281,1.000,0.281,0.500,0.500
XiAn_他,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.394,0.359,0.394,1.000,1.000,0.394,0.281,1.000,0.281,0.500,0.500
Chengdu_他,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.394,0.359,0.394,1.000,1.000,0.394,0.281,1.000,0.281,0.500,0.500
Nanjing_他,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.394,0.359,0.394,1.000,1.000,0.394,0.281,1.000,0.281,0.500,0.500
Jixi_渠,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,1.000,0.577,1.000,0.394,0.394,1.000,0.342,0.394,0.342,0.505,0.505
Suzhou_俚,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.577,1.000,0.577,0.359,0.359,0.577,0.492,0.359,0.492,0.491,0.491
Wenzhou_渠,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,1.000,0.577,1.000,0.394,0.394,1.000,0.342,0.394,0.342,0.505,0.505
Changsha_他,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.394,0.359,0.394,1.000,1.000,0.394,0.281,1.000,0.281,0.500,0.500
Loudi_他,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.394,0.359,0.394,1.000,1.000,0.394,0.281,1.000,0.281,0.500,0.500
Nanchang_渠,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,1.000,0.577,1.000,0.394,0.394,1.000,0.342,0.394,0.342,0.505,0.505
Meixian_佢,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.342,0.492,0.342,0.281,0.281,0.342,1.000,0.281,1.000,0.400,0.400
Guilin_他,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.394,0.359,0.394,1.000,1.000,0.394,0.281,1.000,0.281,0.500,0.500
Guangzhou_佢,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.281,0.342,0.492,0.342,0.281,0.281,0.342,1.000,0.281,1.000,0.400,0.400
Fuzhou_伊,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.505,0.491,0.505,0.500,0.500,0.505,0.400,0.500,0.400,1.000,1.000
Xiamen_伊,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.505,0.491,0.505,0.500,0.500,0.505,0.400,0.500,0.400,1.000,1.000
Beijing_他 們,1.000,1.000,1.000,1.000,1.000,0.321,1.000,1.000,0.319,NaN,NaN,1.000,NaN,NaN,NaN,NaN,0.645,NaN,NaN
Haerbin_他 們,1.000,1.000,1.000,1.000,1.000,0.321,1.000,1.000,0.319,NaN,NaN,1.000,NaN,NaN,NaN,NaN,0.645,NaN,NaN
Jinan_他 們,1.000,1.000,1.000,1.000,1.000,0.321,1.000,1.000,0.319,NaN,NaN,1.000,NaN,NaN,NaN,NaN,0.645,NaN,NaN
Rongcheng_他 們,1.000,1.000,1.000,1.000,1.000,0.321,1.000,1.000,0.319,NaN,NaN,1.000,NaN,NaN,NaN,NaN,0.645,NaN,NaN
Taiyuan_他 們,1.000,1.000,1.000,1.000,1.000,0.321,1.000,1.000,0.319,NaN,NaN,1.000,NaN,NaN,NaN,NaN,0.645,NaN,NaN
XiAn_他 的,0.321,0.321,0.321,0.321,0.321,1.000,0.321,0.321,0.425,NaN,NaN,0.321,NaN,NaN,NaN,NaN,0.252,NaN,NaN
Chengdu_他 們,1.000,1.000,1.000,1.000,1.000,0.321,1.000,1.000,0.319,NaN,NaN,1.000,NaN,NaN,NaN,NaN,0.645,NaN,NaN
Nanjing_他 們,1.000,1.000,1.000,1.000,1.000,0.321,1.000,1.000,0.319,NaN,NaN,1.000,NaN,NaN,NaN,NaN,0.645,NaN,NaN
Jixi_渠 人,0.319,0.319,0.319,0.319,0.319,0.425,0.319,0.319,1.000,NaN,NaN,0.319,NaN,NaN,NaN,NaN,0.188,NaN,NaN
